ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-01,24867.99714,24493.49315777568,25248.521370057493,24867.99714,24867.99714,0.0,0.0,0.0,0.0,0.0,0.0,24867.99714
2025-02-01,28427.040783576158,28064.96510606223,28812.3371144253,28427.040783576158,28427.040783576158,0.0,0.0,0.0,0.0,0.0,0.0,28427.040783576158
2025-03-01,31642.956628469405,31292.775740087825,32047.70127718606,31642.956628469405,31642.956628469405,0.0,0.0,0.0,0.0,0.0,0.0,31642.956628469405
2025-04-01,35203.42046389271,34835.38158622434,35611.491877957815,35203.42046389271,35203.42046389271,0.0,0.0,0.0,0.0,0.0,0.0,35203.42046389271
2025-05-01,38649.03041831037,38290.18442651783,39065.484562988255,38649.03041831037,38649.03041831037,0.0,0.0,0.0,0.0,0.0,0.0,38649.03041831037
2025-06-01,42209.494037875294,41846.06726472833,42599.070298498285,42209.494037875294,42209.494037875294,0.0,0.0,0.0,0.0,0.0,0.0,42209.494037875294
2025-06-30,45540.25032714571,45161.785018257084,45911.9108350629,45539.97674080209,45540.50620941987,0.0,0.0,0.0,0.0,0.0,0.0,45540.25032714571
2025-07-31,49100.71394671063,48685.43556946309,49478.47557724682,49099.83629865158,49101.57250346919,0.0,0.0,0.0,0.0,0.0,0.0,49100.71394671063
2025-08-31,52661.177566275546,52258.861690470454,53047.122033590415,52659.36875757099,52662.88017961643,0.0,0.0,0.0,0.0,0.0,0.0,52661.177566275546
2025-09-30,56106.78752069322,55737.69985138008,56511.94548749657,56103.90927894827,56109.520670079495,0.0,0.0,0.0,0.0,0.0,0.0,56106.78752069322
2025-10-31,59667.25114025814,59291.30844541352,60058.889199368285,59663.24876623772,59671.27582757341,0.0,0.0,0.0,0.0,0.0,0.0,59667.25114025814
2025-11-30,63112.8610946758,62730.82954602828,63470.19827716313,63107.66886605852,63118.1402531974,0.0,0.0,0.0,0.0,0.0,0.0,63112.8610946758
